TransactionId,UserId,VisitYear,VisitMonth,VisitMode_id,AttractionId,Rating,VisitModeId,VisitModeName,ContinentId,RegionId,CountryId,CityId,UserContinent,UserRegion,UserCountry,UserCity,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,AttractionCity,VisitSeason,UserAvgRating,UserTotalVisits,AttractionAvgRating,AttractionPopularity
3,70456,2022,10,2,640,5,2,-0.9451141962134679,5,21,163,4341.0,1.30855283271505,1.2738190868066757,1.2236861596659807,-0.5770693252420954,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
8,7567,2022,10,4,640,5,4,1.053620383578702,2,8,48,464.0,-1.4811733565242189,0.03956973898939295,-0.9237225690557687,0.5075537542127965,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
9,79069,2022,10,3,640,5,3,0.05425309368261701,2,9,54,774.0,-1.4811733565242189,0.4509861882618205,-1.033846093605602,-1.320683860395303,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
10,31019,2022,10,3,640,3,3,0.05425309368261701,5,17,135,583.0,1.30855283271505,-0.7832631595554622,1.003439110566314,1.7483930383198567,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-1.3968893039835395,-0.1954176964292416,0.3734143808425771,1.613155205329321
15,43611,2022,10,2,640,3,2,-0.9451141962134679,5,21,163,1396.0,1.30855283271505,1.2738190868066757,1.2236861596659807,0.08716705714070139,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-1.3968893039835395,0.09330076617344756,0.3734143808425771,1.613155205329321
18,43471,2022,10,4,640,5,4,1.053620383578702,2,8,51,1806.0,-1.4811733565242189,0.03956973898939295,1.2420400804242862,0.9469912079497902,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,1.01651440609977,-0.1954176964292416,0.3734143808425771,1.613155205329321
22,76492,2022,9,2,640,4,2,-0.9451141962134679,1,2,9,31.0,-2.411082086270642,-0.6461243431313196,1.0401469520829252,-1.5994599329249855,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-0.19018744894188475,-0.1954176964292416,0.3734143808425771,1.613155205329321
23,20977,2022,10,4,640,5,4,1.053620383578702,5,21,163,8258.0,1.30855283271505,1.2738190868066757,1.2236861596659807,-0.8418748428841856,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
28,18655,2022,9,2,640,3,2,-0.9451141962134679,1,4,22,114.0,-2.411082086270642,0.8624026375342481,0.8749616652581752,-0.8704509778815335,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-1.3968893039835395,-0.48413615903193075,0.3734143808425771,1.613155205329321
29,62907,2022,9,2,640,5,2,-0.9451141962134679,2,8,51,50.0,-1.4811733565242189,0.03956973898939295,1.2420400804242862,-1.6693127073629468,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-0.27638043858771744,3.269203854803028,0.3734143808425771,1.613155205329321
31,86054,2022,9,2,640,5,2,-0.9451141962134679,5,21,163,8809.0,1.30855283271505,1.2738190868066757,1.2236861596659807,0.8790435091783186,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,0.6142804544192187,0.959456153981515,0.3734143808425771,1.613155205329321
33,41979,2022,9,2,640,5,2,-0.9451141962134679,4,15,109,5365.0,0.37864410296862705,-1.4689572416761747,-1.2908009842218797,1.6036072876666276,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
39,38726,2022,9,4,640,3,4,1.053620383578702,4,16,115,5506.0,0.37864410296862705,0.313847371837678,0.4161136463005365,-1.1079504109706022,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-0.4918629127022984,0.3820192287761367,0.3734143808425771,1.613155205329321
43,67147,2022,8,2,640,4,2,-0.9451141962134679,5,21,163,818.0,1.30855283271505,1.2738190868066757,1.2236861596659807,-1.189233639407503,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,0.41316347857894264,0.3820192287761367,0.3734143808425771,1.613155205329321
44,2307,2022,9,2,640,4,2,-0.9451141962134679,4,15,109,4303.0,0.37864410296862705,-1.4689572416761747,-1.2908009842218797,-0.6399368222362607,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-0.19018744894188475,-0.1954176964292416,0.3734143808425771,1.613155205329321
45,3660,2022,9,2,640,5,2,-0.9451141962134679,4,15,109,4398.0,0.37864410296862705,-1.4689572416761747,-1.2908009842218797,-0.46149473480837744,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,1.01651440609977,-0.1954176964292416,0.3734143808425771,1.613155205329321
46,50130,2022,9,4,640,3,4,1.053620383578702,5,21,163,8513.0,1.30855283271505,1.2738190868066757,1.2236861596659807,-0.0690491475114669,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,-1.342119365051107,-1.3968893039835395,-0.48413615903193075,0.3734143808425771,1.613155205329321
54,30450,2022,8,2,640,4,2,-0.9451141962134679,5,21,163,5264.0,1.30855283271505,1.2738190868066757,1.2236861596659807,1.3915088634640902,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,-0.19018744894188475,-0.48413615903193075,0.3734143808425771,1.613155205329321
56,82637,2022,7,3,640,4,3,0.05425309368261701,4,15,109,3687.0,0.37864410296862705,-1.4689572416761747,-1.2908009842218797,-1.7023340189154377,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,-0.19018744894188475,-0.48413615903193075,0.3734143808425771,1.613155205329321
61,33716,2022,7,5,640,5,5,2.052987673474787,3,12,89,2617.0,-0.551264626777796,-0.2347078938588921,1.205332238907675,-1.7086842711370707,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,1.01651440609977,-0.1954176964292416,0.3734143808425771,1.613155205329321
64,46517,2022,8,3,640,1,3,0.05425309368261701,5,21,163,8366.0,1.30855283271505,1.2738190868066757,1.2236861596659807,-0.5345226353571553,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,-3.810293014066849,-0.48413615903193075,0.3734143808425771,1.613155205329321
66,50127,2022,8,2,640,5,2,-0.9451141962134679,3,12,88,2607.0,-0.551264626777796,-0.2347078938588921,1.1319165558744528,-0.30210340404539276,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,-0.19018744894188475,-0.1954176964292416,0.3734143808425771,1.613155205329321
67,61876,2022,8,2,640,5,2,-0.9451141962134679,1,4,22,191.0,-2.411082086270642,0.8624026375342481,0.8749616652581752,1.1159079170452242,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
68,16769,2022,6,2,640,5,2,-0.9451141962134679,5,18,138,693.0,1.30855283271505,-0.3718467102830346,-0.48322847085643544,-1.5778690753714337,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
69,9804,2022,7,2,640,4,2,-0.9451141962134679,4,15,109,535.0,0.37864410296862705,-1.4689572416761747,-1.2908009842218797,1.2606936676984533,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,-0.9142085619668777,0.6707376913788259,0.3734143808425771,1.613155205329321
72,44419,2022,7,2,640,5,2,-0.9451141962134679,5,21,163,9057.0,1.30855283271505,1.2738190868066757,1.2236861596659807,1.6061473885552808,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,-0.19018744894188475,0.6707376913788259,0.3734143808425771,1.613155205329321
73,84531,2022,7,2,640,5,2,-0.9451141962134679,4,15,109,1434.0,0.37864410296862705,-1.4689572416761747,-1.2908009842218797,0.16082998291164252,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
75,83915,2022,7,2,640,5,2,-0.9451141962134679,3,14,101,3226.0,-0.551264626777796,0.7252638211101056,-0.28133534251507436,0.981917595168771,1,63,-0.4111800420086825,-0.45159717566720914,-0.10859509699353503,-0.39680593443824447,0.4554571550115225,1.01651440609977,-0.48413615903193075,0.3734143808425771,1.613155205329321
